영문명,한글명,IATA코드,ICAO코드
A Coruna Airport,아코루냐 공항,LCG,LECO
A. De Barros Airport,닥터 아드헤마르 데 바로 공항,PPB,SBDN
A. Neto Airport,A. 네토 공항,PNR,FCPP
Aalborg Airport,올보르 공항,AAL,EKYT
Aaro Airport,아로 공항,MOL,ENML
Aba Tenna D. Yilma Airport,아바 테나 D. 일마 공항,DIR,HADR
Abadan Airport,아바단 공항,ABD,OIAA
Abakan Airport,아바칸 공항,ABA,UNAA
Abbotsford International Airport,애보트포드 국제공항,YXX,CYXX
Abha Regional Airport,아바 지역공항,AHB,OEAB
Abilene Municipal Airport,애빌린 시공항,ABI,KABI
Abraham Lincoln Capital Airport,에이브람 링컨 캐피톨 공항,SPI,KSPI
Abruzzo International Airport ,우브르조 국제공항 ,PSR,LIBP
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA
Abu Musa Airport,아부 무사 공항,AEU,OIBA
Abu Simbel Airport,아부심벨 공항,ABS,HEBL
Abuja International Airport,아부자 국제공항,ABV,DNAA
Acandi Airport,아칸디 공항,ACD,SKAD
Achmad Yani Airport,아츠마드 야니 공항,SRG,WARS
Adampur Airport,아담푸르 공항,AIP,VIAX
Adana Airport,아다나 공항,ADA,LTAF
Adelaide International Airport,애들레이드 국제공항,ADL,YPAD
Adisumarmo International Airport,아디 수마르모 국제공항,SOC,WARQ
Adisutjipto Airport,아디숫집토 공항,JOG,WARJ
Adiyaman Airport,아디야만 공항,ADF,LTCP
Adler Sochi International Airport,아들라 소치 국제공항,AER,URSS
Adnan Menderes Airport,아드난 멘데레스 공항,ADB,LTBJ
Aerodrome de Meaux - Esbly,Meaux - Esbly 공항,XYB,CSLA
Aeroparque Jorge Newbery Airport,아에르파크 호르헤 뉴베리 공항,AEP,SABE
Aeroporto Internacional de Foz do Iguacu,이과수폭포 공항,IGU,SBFI
Afonso Pena Airport,아폰소 페냐 공항,CWB,SBCT
Agatti Aerodrome,아가티 비행장,AGX,VOAT
Agoncillo Airport,아곤칠로 공항,RJL,LERJ
Agri Airport,아리 공항,AJI,LTCO
Aguni Airport,아구니 공항,AGJ,RORA
Ahe Airport,아헤 공항,AHE,NTHE
Ahwaz Airport,아와즈 공항,AWZ,OIAW
Ain Arnat Airport,아인 아낫 공항,QSF,DAAS
Ain el Bey Airport,아인 엘 베이 공항,CZL,DABC
Aix Les Milles Airport,액스레밀 공항,QXB,LFMA
Ajaccio Napoleon bonarparte Airportirport ,아작시오 나폴레옹 보나파르트 공항 ,AJA,LFKJ
Akanu Ibiam International Airport,아쿠누 이비암 국제공항,ENU,DNEN
Akita Airport,아키타 공항,AXT,RJSK
Akron-Canton Regional Airport,애크런 캔튼 지역공항,CAK,KCAK
Aksu Airport,아커쑤 공항,AKU,ZWAK
Aktion Airport,악티온 공항,PVK,LGPZ
Akure Airport,아쿠레 공항,AKR,DNAK
Akureyri Airport,아쿠레이리 공항,AEY,BIAR
Al Ain International Airport,알아인 국제공항,AAN,OMAL
Al Alamain International Airport,Al Alamain 국제 공항,DBB,HEAL[2]
Al Bateen Executive Airport,알바틴 특급공항,AZI,OMAD
Al Maktoum International Airport,알 막튬 국제공항,DWC,OMDW
Al Massira Airport,알 마씨라 공항,AGA,GMAD
Al Wajh Domestic Airprot ,알 웨지 국내공항,EJH,OEWJ
al-Ahsa Domestic Airport,알 아샤 국내공항,HOF,OEAH
Al-Aqiq Airport,알 아키크 공항,ABT,OEBA
Albacete Airport,알바세테 공항,ABC,LEAB
Albany Airport,올버니 공항,ALH,YABA
Albany International Airport,올버니 국제공항,ALB,KALB
Albert - Bray Airport,앨버트 브라이 공항,BYF,LFAQ
Albuquerque International Sunport,앨버커키 국제선포트,ABQ,KABQ
Albury Airport,엘버리 공항,ABX,YMAY
Alejo Garcia Airport,알레죠 가르시아 공항,AGT,SGES
Alex Papadiamantis Airport ,알렉스 파파디아만티스 ,JSI,LGSK
Alexand the Great Airport ,알렉산더 더 그레이트 공항 ,SKP,LWSK
Alexandria International Airport,알렉산드리아 국제공항,AEX,KAEX
Alfonso Bonilla Aragon Airport,알폰손 보닐랴 아라곤 공항,CLO,SKCL
Alfonso Lopez Pumarejo Airport,알폰소 로제즈 푸마레조 공항,VUP,SKVP
Al-Fujairah International Airport,알푸자이라 국제공항,FJR,OMFJ
Algeciars,알헤시라스공항,AEI,LEAG
Alicante Airport,알리칸테 공항,ALC,LEAL
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS
al-Jouf Domestic Airport,알 주프 국내공항,AJF,OESK
Allah Valley Airport,알라 밸리 공항,AAV,RPMA
Allama Iqbal International Airport,알라마 익발 국제공항,LHE,OPLA
Almaty Airport,알마티 공항,ALA,UAAA
Almeria International Airport,알메리아 국제공항,LEI,LEAM
Almirante Padilla Airport,알미란테 파딜랴 공항,RCH,SKRH
Almirante Zar Airport,알미란테 챠르 공항,REL,SAVT
Alta Airport,알타 공항,ALF,ENAT
Altamira Airport,알타미라 공항,ATM,SBHT
Altay Airport,알타이 공항,AAT,ZWAT
Alula Aba Airport,알류아 아바 공항,MQX,HAMK
Alvarez International Airport ,알바레즈 국제공항 ,ACA,MMAA
Alxa Left Banner Bayanhot Airport,Alxa 레프트배너 Bayanhot 공항,AXF,
Alxa Right Banner Badanjilin Airport,Alxa Right Banner 바탄 지린 공항,RHT,ZBAR
Alyangula Airport,알리앵굴라 공항,GTE,YGTE
Amado Nervo National Airport,아마도 네르보 내셔널 공항,TPQ,MMEP
Amakusa Airfield,아마쿠사 비행장,AXJ,RJDA
Amami Airport,아마미 공항,ASJ,RJKA
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,LTAP
Amausi Airport,아마우시 공항,LKO,VILK
Amborovy Airport,암보로비 공항,MJN,FMNM
Amiens - Glisy Airport,아미앵 글리시 공항,QAM,LFAY
Amilcar Cabral International Airport,아밀카르 카브럴 국제공항,SID,GVAC
Amman Civil - Marka Airport ,암만 시빌 마르카 공항,ADJ,OJAM
Anaa Airport,아나 공항,AAA,NTGA
Anadolu University Airport,아나둘루 유니버시티 공항,AOE,LTBY
Andoya Airport,안도야 공항,ANX,ENAN
