영문명,한글명,IATA코드,ICAO코드,지역,국가명_영문,국가명_한글,도시명_영문
A Coruna Airport,아코루냐 공항,LCG,LECO,유럽,Spain,스페인,A Coruna
A. De Barros Airport,닥터 아드헤마르 데 바로 공항,PPB,SBDN,중남미,Brazil,브라질,Presidente Prudente
A. Neto Airport,A. 네토 공항,PNR,FCPP,아프리카,Democratic Republic of Congo,콩고 민주공화국,Pointe Noire
Aalborg Airport,올보르 공항,AAL,EKYT,유럽,Denmark,덴마크,Aalborg
Aaro Airport,아로 공항,MOL,ENML,유럽,Norway,노르웨이,Molde
Aba Tenna D. Yilma Airport,아바 테나 D. 일마 공항,DIR,HADR,아프리카,Ethiopia,이디오피아,Dire Dawa
Abadan Airport,아바단 공항,ABD,OIAA,중동,Iran,이란,Abadan
Abakan Airport,아바칸 공항,ABA,UNAA,유럽,Russia,러시아,Abakan
Abbotsford International Airport,애보트포드 국제공항,YXX,CYXX,북미,Canada,캐나다,AbbotsfordBC
Abha Regional Airport,아바 지역공항,AHB,OEAB,중동,Saudi Arabia,사우디아라비아,Abha
Abilene Municipal Airport,애빌린 시공항,ABI,KABI,북미,United States,미국,AbileneTX
Abraham Lincoln Capital Airport,에이브람 링컨 캐피톨 공항,SPI,KSPI,북미,United States,미국,Springfield IL
Abruzzo International Airport ,우브르조 국제공항 ,PSR,LIBP,유럽,Italy,이탈리아,Pescara
Abu Dhabi International Airport,아부다비 국제공항,AUH,OMAA,중동,United Arab Emirates,UAE,Abu Dhabi
Abu Musa Airport,아부 무사 공항,AEU,OIBA,중동,Iran,이란,AbuMousa
Abu Simbel Airport,아부심벨 공항,ABS,HEBL,아프리카,Egypt,이집트,AbuSimbel
Abuja International Airport,아부자 국제공항,ABV,DNAA,아프리카,Nigeria,나이지리아,Abuja
Acandi Airport,아칸디 공항,ACD,SKAD,중남미,Colombia,콜롬비아,Acandi
Achmad Yani Airport,아츠마드 야니 공항,SRG,WARS,아시아,Indonesia,인도네시아,Semarang
Adampur Airport,아담푸르 공항,AIP,VIAX,아시아,India,인도,Adampur
Adana Airport,아다나 공항,ADA,LTAF,유럽,Turkey,터키,Adana
Adelaide International Airport,애들레이드 국제공항,ADL,YPAD,대양주,Australia,오스트레일리아,Adelaide
Adisumarmo International Airport,아디 수마르모 국제공항,SOC,WARQ,아시아,Indonesia,인도네시아,Surakarta
Adisutjipto Airport,아디숫집토 공항,JOG,WARJ,아시아,Indonesia,인도네시아,Yogyakarta
Adiyaman Airport,아디야만 공항,ADF,LTCP,유럽,Turkey,터키,Adiyaman
Adler Sochi International Airport,아들라 소치 국제공항,AER,URSS,유럽,Russia,러시아,Sochi
Adnan Menderes Airport,아드난 멘데레스 공항,ADB,LTBJ,유럽,Turkey,터키,Izmir
Aerodrome de Meaux - Esbly,Meaux - Esbly 공항,XYB,CSLA,유럽,France,프랑스,Meaux / Esbly
Aeroparque Jorge Newbery Airport,아에르파크 호르헤 뉴베리 공항,AEP,SABE,중남미,Argentina,아르헨티나,Buenos Aires
Aeroporto Internacional de Foz do Iguacu,이과수폭포 공항,IGU,SBFI,중남미,Brazil,브라질,Foz Do Iguagu
Afonso Pena Airport,아폰소 페냐 공항,CWB,SBCT,중남미,Brazil,브라질,Curitiba
Agatti Aerodrome,아가티 비행장,AGX,VOAT,아시아,India,인도,Agatti
Agoncillo Airport,아곤칠로 공항,RJL,LERJ,유럽,Spain,스페인,Logrono
Agri Airport,아리 공항,AJI,LTCO,유럽,Turkey,터키,Agri
Aguni Airport,아구니 공항,AGJ,RORA,아시아,Japan,일본,Aguni
Ahe Airport,아헤 공항,AHE,NTHE,대양주,French Plynesia,프랑스령폴리네시아,Ahe
Ahwaz Airport,아와즈 공항,AWZ,OIAW,중동,Iran,이란,Ahvaz
Ain Arnat Airport,아인 아낫 공항,QSF,DAAS,아프리카,Algeria,알제리,Setif
Ain el Bey Airport,아인 엘 베이 공항,CZL,DABC,아프리카,Algeria,알제리,Constantine
Aix Les Milles Airport,액스레밀 공항,QXB,LFMA,유럽,France,프랑스,Aix-en-Provence
Ajaccio Napoleon bonarparte Airportirport ,아작시오 나폴레옹 보나파르트 공항 ,AJA,LFKJ,유럽,France,프랑스,Ajaccio
Akanu Ibiam International Airport,아쿠누 이비암 국제공항,ENU,DNEN,아프리카,Nigeria,나이지리아,Enugu
Akita Airport,아키타 공항,AXT,RJSK,아시아,Japan,일본,Akita
Akron-Canton Regional Airport,애크런 캔튼 지역공항,CAK,KCAK,북미,United States,미국,Akron OH
Aksu Airport,아커쑤 공항,AKU,ZWAK,아시아,China,중국,Akesu
Aktion Airport,악티온 공항,PVK,LGPZ,유럽,Greece,그리스,Preveza/Lefkas
Akure Airport,아쿠레 공항,AKR,DNAK,아프리카,Nigeria,나이지리아,Akure
Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Iceland,아이슬란드,Akureyri
Al Ain International Airport,알아인 국제공항,AAN,OMAL,중동,United Arab Emirates,UAE,Al Ain
Al Alamain International Airport,Al Alamain 국제 공항,DBB,HEAL[2],아프리카,Egypt,이집트,El Dabaa
Al Bateen Executive Airport,알바틴 특급공항,AZI,OMAD,중동,United Arab Emirates,UAE,ABU DHABI
Al Maktoum International Airport,알 막튬 국제공항,DWC,OMDW,중동,United Arab Emirates,UAE,Dubai
Al Massira Airport,알 마씨라 공항,AGA,GMAD,아프리카,Morocco,모로코,Agadir
Al Wajh Domestic Airprot ,알 웨지 국내공항,EJH,OEWJ,중동,Saudi Arabia,사우디아라비아,Wedjh
al-Ahsa Domestic Airport,알 아샤 국내공항,HOF,OEAH,중동,Saudi Arabia,사우디아라비아,Al-Ahsa
Al-Aqiq Airport,알 아키크 공항,ABT,OEBA,중동,Saudi Arabia,사우디아라비아,Al-Baha
Albacete Airport,알바세테 공항,ABC,LEAB,유럽,Spain,스페인,Albacete
Albany Airport,올버니 공항,ALH,YABA,대양주,Australia,오스트레일리아,Albany
Albany International Airport,올버니 국제공항,ALB,KALB,북미,United States,미국,Albany NY
Albert - Bray Airport,앨버트 브라이 공항,BYF,LFAQ,유럽,France,프랑스,Albert
Albuquerque International Sunport,앨버커키 국제선포트,ABQ,KABQ,북미,United States,미국,Albuquerque NM
Albury Airport,엘버리 공항,ABX,YMAY,대양주,Australia,오스트레일리아,Albury
Alejo Garcia Airport,알레죠 가르시아 공항,AGT,SGES,중남미,Paraguay,파라과이,Ciudad del Este
Alex Papadiamantis Airport ,알렉스 파파디아만티스 ,JSI,LGSK,유럽,Greece,그리스,Skiathos
Alexand the Great Airport ,알렉산더 더 그레이트 공항 ,SKP,LWSK,유럽,North Macedonia,북마케도니아,Skopje
Alexandria International Airport,알렉산드리아 국제공항,AEX,KAEX,북미,United States,미국,Alexandria LA
Alfonso Bonilla Aragon Airport,알폰손 보닐랴 아라곤 공항,CLO,SKCL,중남미,Colombia,콜롬비아,Cali
Alfonso Lopez Pumarejo Airport,알폰소 로제즈 푸마레조 공항,VUP,SKVP,중남미,Colombia,콜롬비아,Valledupar
Al-Fujairah International Airport,알푸자이라 국제공항,FJR,OMFJ,중동,United Arab Emirates,UAE,Fujairah
Algeciars,알헤시라스공항,AEI,LEAG,유럽,Spain,스페인,Algeciras
Alicante Airport,알리칸테 공항,ALC,LEAL,유럽,Spain,스페인,Alicante
Alice Springs Airport,앨리스 스프링스 공항,ASP,YBAS,대양주,Australia,오스트레일리아,Alice Springs
al-Jouf Domestic Airport,알 주프 국내공항,AJF,OESK,중동,Saudi Arabia,사우디아라비아,Al-Jouf
Allah Valley Airport,알라 밸리 공항,AAV,RPMA,아시아,Philippines,필리핀,Surallah
Allama Iqbal International Airport,알라마 익발 국제공항,LHE,OPLA,아시아,Pakistan,파키스탄,Lahore
Almaty Airport,알마티 공항,ALA,UAAA,아시아,Kazakhstan,카자흐스탄,Almaty
Almeria International Airport,알메리아 국제공항,LEI,LEAM,유럽,Spain,스페인,Almerta
Almirante Padilla Airport,알미란테 파딜랴 공항,RCH,SKRH,중남미,Colombia,콜롬비아,Riohacha
Almirante Zar Airport,알미란테 챠르 공항,REL,SAVT,중남미,Argentina,아르헨티나,Trelew
Alta Airport,알타 공항,ALF,ENAT,유럽,Norway,노르웨이,Alta
Altamira Airport,알타미라 공항,ATM,SBHT,중남미,Brazil,브라질,Altamira
Altay Airport,알타이 공항,AAT,ZWAT,아시아,China,중국,Aletai
Alula Aba Airport,알류아 아바 공항,MQX,HAMK,아프리카,Ethiopia,이디오피아,Makale
Alvarez International Airport ,알바레즈 국제공항 ,ACA,MMAA,중남미,Mexico,멕시코,Acapulco
Alxa Left Banner Bayanhot Airport,Alxa 레프트배너 Bayanhot 공항,AXF,,아시아,China,중국,Bayanhot
Alxa Right Banner Badanjilin Airport,Alxa Right Banner 바탄 지린 공항,RHT,ZBAR,아시아,China,중국,Badanjilin
Alyangula Airport,알리앵굴라 공항,GTE,YGTE,대양주,Australia,오스트레일리아,Groote Eylandt
Amado Nervo National Airport,아마도 네르보 내셔널 공항,TPQ,MMEP,중남미,Mexico,멕시코,Tepic
Amakusa Airfield,아마쿠사 비행장,AXJ,RJDA,아시아,Japan,일본,Amakusa
Amami Airport,아마미 공항,ASJ,RJKA,아시아,Japan,일본,Amami
Amasya Merzifon Airport,아마시야 메르지폰 공항,MZH,LTAP,유럽,Turkey,터키,Amasya
Amausi Airport,아마우시 공항,LKO,VILK,아시아,India,인도,Lucknow
Amborovy Airport,암보로비 공항,MJN,FMNM,아프리카,Madagascar,마다가스카르,Mahajanga
Amiens - Glisy Airport,아미앵 글리시 공항,QAM,LFAY,유럽,France,프랑스,Amiens / Glisy
Amilcar Cabral International Airport,아밀카르 카브럴 국제공항,SID,GVAC,아프리카,Cabo Verde,카보베르데,Ilha Do Sal
Amman Civil - Marka Airport ,암만 시빌 마르카 공항,ADJ,OJAM,중동,Jordan,요르단,Amman
Anaa Airport,아나 공항,AAA,NTGA,대양주,French Plynesia,프랑스령폴리네시아,Anaa
Anadolu University Airport,아나둘루 유니버시티 공항,AOE,LTBY,유럽,Turkey,터키,Eskisehir
Andoya Airport,안도야 공항,ANX,ENAN,유럽,Norway,노르웨이,Andoya
