항공사명,한글항공사명,IATA코드,ICAO코드,항공사상태,사업모델,국가,지역,,
1time,1타임항공,T6,RNX,Grounded,Low Cost Carrier,South Africa,Southern Africa,,
21 Air,21 에어,2I,CSB,Active,Cargo,United States of America,North America,,
24Airways,24 항공,,,Startup,Virtual Carrier,Italy,Western Europe,,
40 Mile Air,40마일 에어,Q5,MLA,Active,Regional/Commuter,United States of America,North America,,
4YOU Airlines,포유항공,,,Grounded,Charter,Poland,Eastern/Central Europe,,
748 Air Services,748 항공서비스,,IHO,Active,Charter,Kenya,Eastern Africa,,
888 Macau Airlines,888 마카오 항공,,,Startup,Full Service Carrier,Macau,North East Asia,,
9 Air,9 에어,AQ,JYH,Active,Low Cost Carrier,China,North East Asia,,
AB Aviation,AB 항공,Y6,,Active,Charter,Comoros,Southern Africa,,
Ababeel Aviation,아바빌항공,,BBE,Active,Cargo,Sudan,North Africa,,
Abaete Taxi Aereo,아바에테에어택시,,ABJ,Active,Charter,Brazil,Upper South America,,
ABC Air Hungary,ABC 에어 헝가리,,AHU,Grounded,Cargo,Hungary,Eastern/Central Europe,,
Aberdair Aviation Ltd,아베르데어 에비에이션,,BDV,Active,Charter,Kenya,Eastern Africa,,
ABS Jets,Abs 제트,,ABP,Active,Charter,Czech Republic,Eastern/Central Europe,,
ABX Air,ABX 에어,GB,ABX,Active,Cargo,United States of America,North America,,
acacusair,아카쿠세어 항공,,,Failed startup,,Libya,North Africa,,
Ad Maiora Lineas Aereas,애드마이오라항공,,,Active,Regional/Commuter,Paraguay,Lower South America,,
ADA - Aerolinea de Antioquia,안티오키아항공,,ANQ,Grounded,Charter,Colombia,Upper South America,,
ADC Airlines,ADC 항공,,,Grounded,Full Service Carrier,Nigeria,Central/Western Africa,,
Adria Airways,아드리아 항공사,JP,ADR,Grounded,Regional/Commuter,Slovenia,Eastern/Central Europe,,
Adria Airways Switzerland,다윈항공,F7,,Grounded,Charter,Switzerland,Western Europe,,
Adriatic Skyways,아드리아해스카이웨이,,,Grounded,Virtual Carrier,Croatia,Eastern/Central Europe,,
Aegean Airlines,에게안항공,A3,AEE,Active,Full Service Carrier,Greece,Eastern/Central Europe,,
Aeolus Air,에올러스 항공,,AAZ,Grounded,Charter,Gambia,Central/Western Africa,,
Aer Caribe Peru,페루에어카리브,,CPR,Active,Charter,Peru,Upper South America,,
Aer Lingus,에어링거스,EI,EIN,Active,Full Service Carrier,Ireland,Western Europe,,
Aer Southeast,Aer 사우스이스트항공,,,Failed startup,Full Service Carrier,Ireland,Western Europe,,
AerCaribe,에어카리베,JK,ACL,Active,Charter,Colombia,Upper South America,,
Aereotuy,에레오투이,L4,,Active,,Venezuela,Upper South America,,
Aero (Nigeria),에어라 나이지리아,N2,NIG,Active,Full Service Carrier,Nigeria,Central/Western Africa,,
AERO - Mapiex Aero,마피엑스 항공,,,Active,Charter,Panama,Central America,,
Aero Charter,에어로 챠터,,,Active,Charter,Ukraine,Eastern/Central Europe,,
Aero Georgia,조지아항공,,,Startup,,Georgia,Eastern/Central Europe,,
Aero K,에어로 K,RF,EOK,Active,Low Cost Carrier,South Korea,North East Asia,,
Aero Mongolia,에어로몽골,M0,MNG,Active,Full Service Carrier,Mongolia,North East Asia,,
Aero Owen,에어로 오웬,,OWN,Active,Regional/Commuter,Mexico,Central America,,
Aero Postal Cargo de Mexico,에어로포스탈화물항공,,,Grounded,Cargo,Mexico,Central America,,
Aero Transporte SA - ATSA Peru,ATSA 페루,,AMP,Active,Charter,Peru,Upper South America,,
Aero VIP,에어로 VIP,VZ,RVP,Active,Charter,Portugal,Western Europe,,
AeroBaru,에어로바루,,,Startup,Regional/Commuter,Colombia,Upper South America,,
Aerobell Airlines,에어로벨항공,,GAB,Active,Regional/Commuter,Costa Rica,Central America,,
AeroBratsk,에어로 브라츠크,,BRP,Active,Charter,Russian Federation,Eastern/Central Europe,,
Aerocardal,에어로카달,,CDA,Active,Charter,Chile,Lower South America,,
Aerocaribbean,에어로카리비엔,,,Active,Regional/Commuter,Cuba,Caribbean,,
Aerocaribe de Honduras,에어로카리베 온두라스,,HAS,Active,Charter,Honduras,Central America,,
Aerochaco,에어로챠고,,,Grounded,Charter,Argentina,Lower South America,,
Aerocon,아에레오콘,A4,AEK,Grounded,Regional/Commuter,Bolivia,Upper South America,,
AeroDesierto,에어로데시에르토,,,Grounded,Regional/Commuter,Chile,Lower South America,,
Aerodesierto SA,에어로데시에르토 SA,,DTO,Active,Charter,Chile,Lower South America,,
Aeroeste,아에레로에스테 ,,ROE,Active,Charter,Bolivia,Upper South America,,
Aeroflot,아에로플로트,SU,AFL,Active,Full Service Carrier,Russian Federation,Eastern/Central Europe,,
Aeroflot Cargo,아에로플로트 카고,,,Grounded,Cargo,Russian Federation,Eastern/Central Europe,,
AeroGeo,에어로지오,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
AeroLap Paraguay Airlines,에어로랩파라과이항공,,,Failed startup,Full Service Carrier,Paraguay,Lower South America,,
Aerolimuzin,에어로리무진,,,Active,Charter,Russian Federation,Eastern/Central Europe,,
Aerolineas Argentinas,아르헨티나항공,AR,ARG,Active,Full Service Carrier,Argentina,Lower South America,,
Aerolineas Sosa,SOSA 항공,S0,NSO,Active,Regional/Commuter,Honduras,Central America,,
Aerolineas Sudamericanas,남미항공,,,Grounded,Charter,Bolivia,Upper South America,,
Aerolineas Vive Peru,VIVE 페루 항공,,,Active,Charter,Peru,Upper South America,,
Aerolinee Siciliane,시칠리아항공,,,Startup,Low Cost Carrier,Italy,Western Europe,,
Aerolink Air Services,에어로링크항공서비스,,,Active,Charter,Australia,Southwest Pacific,,
AeroLogic,에어로로직,3S,BOX,Active,Cargo,Germany,Western Europe,,
Aeromar,아에로마,VW,TAO,Active,Regional/Commuter,Mexico,Central America,,
Aeromexico,아에로 멕시코,AM,AMX,Active,Full Service Carrier,Mexico,Central America,,
Aeromexico Connect,아에로멕시코 커넥트,,SLI,Active,Regional/Commuter,Mexico,Central America,,
Aeromil Pacific,에어로밀 패시픽,,,Grounded,Charter,Australia,Southwest Pacific,,
Aeronaves Peruanas Air Cargo,에어로나베스 페루나스 에어카고,,WPL,Active,Cargo,Peru,Upper South America,,
Aeronaves TSM,에어로나버스 TSM,,VTM,Active,Charter,Mexico,Central America,,
Aeronova,에어로노바,X5,,Grounded,Charter,Spain,Western Europe,,
Aeropelican Air Services,에어로펠리칸항공서비스,OT,,Grounded,Regional/Commuter,Australia,Southwest Pacific,,
Aeroperlas,아에로페를라스,WL,,Grounded,Regional/Commuter,Panama,Central America,,
Aeroperu,에어로페루,,,Startup,Full Service Carrier,Peru,Upper South America,,
"Aeropostal, Alas De Venezuela S.A.",에어로 포스탈 베네수엘라,,ALV,Active,Full Service Carrier,Venezuela,Upper South America,,
Aeroregional,에어로리저널항공,,,Active,Full Service Carrier,Ecuador,Upper South America,,
Aerospace Consortium,에어로스페이스 콘소시엄,,AKQ,Active,Full Service Carrier,Kenya,Eastern Africa,,
Aerospace One,에어로스페이스원,,,Grounded,Cargo,Greece,Eastern/Central Europe,,
Aerostan,에어로스탄,,BSC,Grounded,Charter,Kyrgyzstan,Central Asia,,
Aerosur,에어로수르,5L,RSU,Grounded,Full Service Carrier,Bolivia,Upper South America,,
Aerosur Paraguay,파라과이 항공,,,Failed startup,Charter,Paraguay,Lower South America,,
Aerosvit Airlines,에어로스빗 항공,VV,,Grounded,Full Service Carrier,Ukraine,Eastern/Central Europe,,
Aerotrans cargo,에어로트랜스 카고,F5,ATG,Active,Cargo,Moldova,Eastern/Central Europe,,
Aerotucan,아에로투칸,,RTU,Active,Charter,Mexico,Central America,,
Aerounion,아에로 유니온,6R,TNO,Active,Cargo,Mexico,Central America,,
Aerovista,에어로비스트,,,Active,Charter,United Arab Emirates,Middle East,,
Aerovia,에어로비아스,,,Grounded,Full Service Carrier,Guatemala,Central America,,
Aerovias DAP,에어로비아스 DAP,V5,,Active,Regional/Commuter,Chile,Lower South America,,
Aerovias Internacionales del Uruguay,에어로비아스 우루과이,,,Startup,Full Service Carrier,Uruguay,Lower South America,,
Afghan Jet International Airlines,아프간 제트 인터내셔널,HN,AJA,Grounded,Regional/Commuter,Afghanistan,Middle East,,
Afra Airways,아프라항공,,,Active,Charter,Burundi,Eastern Africa,,
Afric Aviation,아프릭 에비에이션,L8,EKG,Grounded,Regional/Commuter,Gabon,Central/Western Africa,,
Africa Charter Airline,아프리카 챠터,,FSK,Active,Charter,South Africa,Southern Africa,,
Africa West Cargo,아프리카웨스트카고,,WTA,Grounded,Cargo,Togo,Central/Western Africa,,
Africa World Airlines,아프리카 월드 항공,AW,AFW,Active,Regional/Commuter,Ghana,Central/Western Africa,,
Africas Connection STP,아프리카 코넥션,,ACH,Active,Regional/Commuter,Sao Tome and Principe,Central/Western Africa,,
African Express Airways,아프리카 익스프레스 에어웨이,XU,AXK,Active,Full Service Carrier,Kenya,Eastern Africa,,
Afrijet,아프리제트,6F,FRJ,Grounded,Cargo,Nigeria,Central/Western Africa,,
Afrijet Business Service,아프리제트비즈니스서비스,J7,ABS,Active,Charter,Gabon,Central/Western Africa,,
Afrinat International Airlines,아프리낫 국제항공,,,Grounded,Full Service Carrier,Ghana,Central/Western Africa,,
Afriqiyah Airways,아프리키야 항공,8U,AAW,Active,Full Service Carrier,Libya,North Africa,,
AG Air,AG 에어,,,Active,,Chad,Central/Western Africa,,
Agni Air,아그니항공,,,Grounded,Charter,Nepal,South Asia,,
AHS Air International,AHS 에어 인터내셔널,,AHS,Grounded,Cargo,Pakistan,South Asia,,
Aigle Azur,아이글레 아쥐,,AAF,Grounded,Full Service Carrier,France,Western Europe,,
Air 26,에어 26,,DCD,Grounded,Regional/Commuter,Angola,Southern Africa,,
Air Aland,에어올란드,,,Active,Virtual Carrier,Finland,Western Europe,,
Air Alanna,에어알라나,,,Grounded,Charter,Ukraine,Eastern/Central Europe,,
Air Albania,에어 알바니아,ZB,ABN,Active,Full Service Carrier,Albania,Eastern/Central Europe,,
Air Alderney,에어 올더니,,,Startup,Full Service Carrier,Guernsey,Western Europe,,
Air Algerie,에어알제리,AH,DAH,Active,Full Service Carrier,Algeria,North Africa,,
Air Alps,에어 알프스,A6,,Grounded,Regional/Commuter,Austria,Western Europe,,
Air Alsie,에어 알시,6I,MMD,Active,Charter,Denmark,Western Europe,,
Air Amami,에어 아마미,,,Failed startup,Low Cost Carrier,Japan,North East Asia,,
Air Andorra,에어 안도라,,,Startup,Regional/Commuter,Spain,Western Europe,,
Air Annobon,에어 아노본,,,Grounded,Full Service Carrier,Equatorial Guinea,Central/Western Africa,,
Air Antilles,에어 안틸레스,3S,GUY,Active,Regional/Commuter,Guadeloupe,Caribbean,,
Air Antwerp,에어 앤트워프,WP,ATW,Grounded,Full Service Carrier,Belgium,Western Europe,,
Air Arabia,에어 아라비아,G9,ABY,Active,Low Cost Carrier,United Arab Emirates,Middle East,,
Air Arabia Abu Dhabi,에어 아라비아 아부다비,3L,ADY,Active,Low Cost Carrier,United Arab Emirates,Middle East,,
Air Arabia Egypt,에어 아라비아 이집트,E5,RBG,Active,Low Cost Carrier,Egypt,North Africa,,
Air Arabia Jordan,에어 아라비안 요르단,9P,,Grounded,Low Cost Carrier,Jordan,Middle East,,
Air Arabia Maroc,에어 아라비아 모로코,3O,MAC,Active,Low Cost Carrier,Morocco,North Africa,,
Air Archipels,에어 아쉬펠,,RHL,Active,Charter,French Polynesia,Southwest Pacific,,
Air Armenia,에어아르메니아,QN,ARR,Grounded,Full Service Carrier,Armenia,Eastern/Central Europe,,
Air Astana,에어아스타나,KC,KZR,Active,Full Service Carrier,Kazakhstan,Central Asia,,
Air Atlanta Icelandic,애틀랜타,,ABD,Active,Charter,Iceland,Western Europe,,
Air Atlantique,에어 아틀란티크,,AAG,Grounded,Charter,United Kingdom,Western Europe,,
Air Austral,에어오스트랄,UU,REU,Active,Full Service Carrier,Reunion,Southern Africa,,
Air Australia,에어 오스트랄리아,VC,,Grounded,Low Cost Carrier,Australia,Southwest Pacific,,
Air Ayiti,에어 아이티,,,Active,Virtual Carrier,Haiti,Caribbean,,
Air Bagan,에어바간,,JAB,Active,Regional/Commuter,Myanmar,South East Asia,,
Air Bashkortostan,에어 바슈코르토스탄,,BBT,Grounded,Charter,Russian Federation,Eastern/Central Europe,,
Air Batumi,에어 바투미,,,Grounded,Charter,Georgia,Eastern/Central Europe,,
Air Belgium,에어 벨기에,KF,,Active,Charter,Belgium,Western Europe,,
Air Bishkek,에어 비쉬케크 ,KR,EAA,Grounded,Full Service Carrier,Kyrgyzstan,Central Asia,,
Air Borealis,에어 보레알리스,,LBR,Active,Regional/Commuter,Canada,North America,,
Air Botswana,보츠와나항공,BP,BOT,Active,Full Service Carrier,Botswana,Southern Africa,,
Air Bright,에어프라이트,,,Active,Cargo,Bulgaria,Eastern/Central Europe,,
Air Burkina,에어부르키나,2J,VBW,Active,Full Service Carrier,Burkina Faso,Central/Western Africa,,
Air Burundi,에어 부룬디,,PBU,Grounded,Regional/Commuter,Burundi,Eastern Africa,,
Air Busan,에어부산,BX,ABL,Active,Low Cost Carrier,South Korea,North East Asia,,
Air Cairo,에어카이로,SM,MSC,Active,Charter,Egypt,North Africa,,
Air Caledonie,에어 칼레도니,TY,TPC,Active,Regional/Commuter,New Caledonia,Southwest Pacific,,
Air Canada,에어캐나다,AC,ACA,Active,Full Service Carrier,Canada,North America,,
Air Canada Rouge,에어캐나다 루즈,RV,ROU,Active,Low Cost Carrier,Canada,North America,,
Air Caraibes,에어 카라이베스,TX,FWI,Active,Full Service Carrier,Guadeloupe,Caribbean,,
Air Cargo Carriers,에어 카고캐리어,2Q,SNC,Active,Cargo,United States of America,North America,,
Air Cargo Global (ACG),에어 카고 글로벌,CW,CCC,Active,Cargo,Slovakia,Eastern/Central Europe,,
Air Cargo Malawi Ltd,에어 카고 말라위,,,Active,Cargo,Malawi,Southern Africa,,
Air Carnival,에어 카니발,2S,,Grounded,Full Service Carrier,India,South Asia,,
Air Caucasus,에어 코카서스,,,Grounded,Full Service Carrier,Georgia,Eastern/Central Europe,,
Air CEMAC,에어 세맥,,,Failed startup,Full Service Carrier,Republic of the Congo,Central/Western Africa,,
Air Century,에어 센츄리 ,Y2,CEY,Active,Charter,Dominican Republic,Caribbean,,
Air Changan,장안항공,9H,CGN,Active,Full Service Carrier,China,North East Asia,,
Air Chathams,에어 차트마스,3C,CVA,Active,Regional/Commuter,New Zealand,Southwest Pacific,,
Air China,중국국제항공,CA,CCA,Active,Full Service Carrier,China,North East Asia,,
Air China Cargo,중국국제항공화물,CA,CAO,Active,Cargo,China,North East Asia,,
Air Choice One,에어초이스원,3E,ACO,Active,Full Service Carrier,United States of America,North America,,
Air Class Lineas Aereas,에어클레스 항공,,QCL,Active,Cargo,Uruguay,Lower South America,,
Air Clipper,에어 클립퍼,,,Startup,Cargo,South Korea,North East Asia,,
Air Congo International,에어콩고국제항공,,,Grounded,Charter,Republic of the Congo,Central/Western Africa,,
Air Corail (Comoros),코모로항공,,,Failed startup,Full Service Carrier,Comoros,Southern Africa,,
Air Corsica,에어 코시카,XK,CCM,Active,Regional/Commuter,France,Western Europe,,
Air Costa,엥 코스타,LB,LLB,Grounded,Regional/Commuter,India,South Asia,,
Air Costa Rica,에어코스타리카,RI,,Active,Charter,Costa Rica,Central America,,
Air Creebec,에어 코트 디 부아르,YN,CRQ,Active,Regional/Commuter,Canada,North America,,
Air Croatia,에어 크로아티아,,,Active,Virtual Carrier,Croatia,Eastern/Central Europe,,
Air Cote dIvoire,에어 코트 디 부아르,HF,VRE,Active,Full Service Carrier,Cote d'Ivoire,Central/Western Africa,,
Air Daegu,에어 대구,,,Failed startup,Low Cost Carrier,South Korea,North East Asia,,
Air Deccan,에어데칸,,DKN,Active,Low Cost Carrier,India,South Asia,,
Air Djibouti,에어 지부티,DJ,,Active,Full Service Carrier,Djibouti,Eastern Africa,,
Air Do,에어 두,HD,ADO,Active,Full Service Carrier,Japan,North East Asia,,
Air Dolomiti,에어돌로미티,EN,DLA,Active,Regional/Commuter,Italy,Western Europe,,
Air Eagle,에어 이글,,EGA,Active,Charter,Pakistan,South Asia,,
Air Europa Cargo,에어 유로파 카고,,,Active,Cargo,Spain,Western Europe,,
Air Europa Express,에어 유로파 익스프레스,X5,,Active,Regional/Commuter,Spain,Western Europe,,
Air Europa Lineas Aereas,에어 유로파 항공,UX,AEA,Active,Full Service Carrier,Spain,Western Europe,,
Air Excel (Tanzania),에어엑셀,,XLL,Active,Charter,Tanzania,Eastern Africa,,
Air Express Algeria,에어 익스프레스 알제리,,,Active,Charter,Algeria,North Africa,,
Air Falcon,에어팔콘,,,Active,Cargo,Pakistan,South Asia,,
Air Finland,에어핀란드,OF,,Grounded,Low Cost Carrier,Finland,Western Europe,,
Air Flamenco,에어플라맹고,F4,WAF,Active,Regional/Commuter,Puerto Rico,North America,,
Air France,에어프랑스,AF,AFR,Active,Full Service Carrier,France,Western Europe,,
Air Georgia,에어 조지아,,,Startup,Low Cost Carrier,Georgia,Eastern/Central Europe,,
Air Georgian,에어 조지안,ZX,GGN,Grounded,Regional/Commuter,Canada,North America,,
Air Ghana,에어가나,,GHN,Active,Charter,Ghana,Central/Western Africa,,
Air Go,에어고,,AGY,Grounded,,Egypt,North Africa,,
Air Greenland,에어그린란드,GL,GRL,Active,Regional/Commuter,Greenland,Western Europe,,
Air Guilin,에어 구이린,GT,CGH,Active,Low Cost Carrier,China,North East Asia,,
